,0,1
35.0,1.671,1.897
45.0,1.568,2.519
46.0,2.994,1.8
49.0,0.836,3.611
50.0,3.503,1.688
51.0,1.597,2.476
52.0,2.908,2.094
53.0,0.624,2.33
63.0,1.079,3.094
64.0,2.905,2.12
67.0,2.296,2.668
68.0,3.742,2.13
69.0,2.53,2.164
70.0,2.088,2.821
71.0,1.939,2.4
80.0,2.092,3.137
81.0,3.359,2.484
84.0,1.77,2.697
85.0,2.314,2.002
92.0,1.069,2.902
93.0,1.141,2.116
94.0,1.068,2.187
95.0,3.284,2.758
96.0,1.851,3.481
111.0,1.336,2.159
112.0,1.364,2.774
115.0,1.927,3.965
116.0,1.034,2.817
124.0,2.603,2.732
125.0,3.153,2.462
129.0,0.652,2.808
141.0,0.788,2.73
142.0,1.705,1.871
149.0,1.188,3.003
150.0,1.685,2.814
151.0,0.896,2.802
161.0,1.089,3.159
162.0,0.761,2.743
167.0,1.023,3.973
168.0,2.459,2.298
169.0,1.143,2.793
10.0,,
11.0,3.639,3.158
12.0,1.338,4.087
13.0,2.343,2.297
31.0,2.525,3.702
32.0,1.879,3.465
33.0,0.947,3.667
34.0,2.369,2.231
45.0,1.047,2.884
48.0,0.75,2.158
58.0,1.565,2.83
59.0,1.776,3.438
62.0,0.942,3.341
63.0,1.041,2.403
78.0,2.793,3.691
79.0,2.045,3.163
82.0,0.866,2.285
83.0,1.681,2.663
84.0,0.88,3.268
85.0,2.465,2.846
96.0,2.123,2.574
97.0,1.32,2.422
100.0,2.762,2.63
101.0,1.8,2.577
102.0,2.463,2.629
115.0,1.53,2.559
116.0,2.938,3.165
120.0,0.927,2.653
121.0,2.717,2.345
122.0,1.359,1.85
123.0,1.717,2.476
133.0,2.44,1.783
134.0,0.511,1.081
136.0,0.742,2.324
137.0,1.839,2.73
138.0,2.312,3.741
145.0,1.801,2.939
146.0,1.343,2.654
147.0,3.162,2.763
148.0,1.394,2.976
149.0,0.379,2.11
150.0,2.003,2.657
151.0,1.145,2.393
152.0,2.168,2.701
159.0,1.084,2.265
160.0,3.746,2.388
161.0,2.139,1.904
162.0,0.729,2.209
163.0,1.525,2.232
164.0,0.978,3.087
165.0,2.484,2.225
166.0,2.063,3.107
183.0,1.821,2.627
184.0,1.306,2.015
188.0,1.849,2.404
189.0,1.516,2.234
12.0,0.373,2.783
13.0,2.133,2.217
14.0,2.624,2.282
15.0,2.041,1.761
16.0,1.289,1.978
27.0,2.04,3.808
28.0,2.616,2.003
29.0,0.286,1.975
30.0,2.428,2.193
31.0,1.258,2.356
32.0,1.877,2.72
44.0,1.974,2.549
45.0,1.387,3.637
46.0,2.715,3.044
47.0,1.463,2.094
48.0,1.602,1.783
49.0,2.395,2.894
58.0,1.836,3.047
59.0,2.476,3.506
60.0,3.516,3.55
63.0,3.091,3.629
64.0,2.123,3.186
65.0,1.811,2.328
66.0,1.573,1.832
75.0,3.973,3.918
76.0,1.651,1.577
81.0,2.293,2.9
82.0,2.702,2.188
83.0,2.49,1.649
84.0,2.302,2.519
85.0,2.754,2.164
94.0,2.988,1.822
95.0,2.427,2.609
98.0,2.164,2.822
99.0,0.761,1.609
100.0,1.083,1.689
113.0,2.55,2.768
114.0,1.841,2.022
117.0,3.007,3.282
118.0,1.442,1.878
131.0,1.614,2.045
